0 =
0 T
5420 L
5420 P
5420 -
5420 t
5420 S
9420 p
13420 s
13420 =
13420 T
64870 L
65590 L
65590 P
65590 -
65590 t
65600 S
69590 p
73600 s
73600 =
73600 T
121080 L
121380 L
122180 L
122960 L
122960 P
122960 -
122960 t
122960 S
126960 p
130960 s
130960 =
130960 T
242920 L
243280 L
243660 L
244130 L
244780 L
245110 L
245120 P
245120 -
245120 t
245120 S
249120 p
253120 s
253120 =
253120 T
361070 L
361400 L
361690 L
361950 L
362490 L
362910 L
363160 L
363430 L
363730 L
363730 P
363730 -
363730 t
363730 S
367730 p
371730 s
371730 =
371730 T
480660 L
480930 L
481410 L
481820 L
482100 L
482330 L
482590 L
483050 L
483270 L
483630 L
483890 L
484130 L
484140 P
484140 -
484140 t
484140 S
488140 p
492140 s
492140 =
492140 T
600610 L
600940 L
601220 L
601490 L
601760 L
602020 L
602240 L
602460 L
602680 L
602890 L
603130 L
603350 L
603570 L
603840 L
604110 L
604110 P
604110 -
604110 t
604110 S
608110 p
612110 s
612110 =
612110 T
716160 L
716620 L
717870 L
718280 L
718600 L
719520 L
719890 L
720280 L
720580 L
720910 L
721220 L
721500 L
721820 L
722150 L
722480 L
722820 L
723160 L
723690 L
724200 L
724760 L
724760 P
724760 -
724760 t
724760 S
728760 p
732760 s
732760 =
732760 T
833830 L
835260 L
836310 L
836840 L
838170 L
838660 L
839420 L
840350 L
841180 L
841810 L
842190 L
842900 L
843260 L
843990 L
844510 L
844910 L
846020 L
846480 L
847060 L
848000 L
848650 L
849030 L
850100 L
850790 L
851170 L
851170 P
851170 -
851170 t
851170 S
855170 p
859170 s
859170 =
859170 T
941460 L
943640 L
947690 L
949700 L
952280 L
953170 L
956990 L
959640 L
960800 L
962940 L
963470 L
964840 L
966240 L
966710 L
967820 L
969150 L
969640 L
970930 L
972260 L
972760 L
973860 L
974630 L
976330 L
976770 L
977270 L
977810 L
978510 L
979070 L
979890 L
980260 L
981090 L
982120 L
982120 P
982120 -
982120 t
982120 S
986120 p
990120 s
990120 =
990120 T
1071430 L
1072770 L
1073200 L
1075510 L
1077090 L
1077600 L
1078530 L
1080050 L
1080490 L
1081000 L
1082460 L
1082920 L
1084080 L
1084490 L
1085020 L
1085820 L
1086240 L
1087010 L
1087590 L
1088640 L
1089020 L
1090150 L
1090820 L
1092390 L
1092880 L
1093710 L
1094160 L
1095280 L
1095830 L
1096220 L
1097020 L
1097680 L
1098040 L
1098780 L
1099840 L
1100250 L
1100970 L
1101830 L
1102850 L
1103250 L
1103250 P
1103250 -
1103250 t
1103250 S
1107250 p
1111250 s
1111250 =
1111250 T
1196740 L
1197410 L
1199010 L
1200900 L
1201420 L
1202390 L
1203770 L
1204260 L
1204660 L
1206470 L
1207000 L
1208400 L
1209500 L
1209920 L
1211300 L
1211950 L
1212360 L
1213740 L
1214230 L
1214610 L
1216970 L
1217840 L
1218290 L
1219060 L
1220390 L
1221330 L
1221810 L
1222220 L
1223100 L
1224050 L
1224520 L
1225260 L
1226220 L
1227060 L
1227480 L
1228410 L
1228940 L
1229700 L
1230100 L
1231080 L
1231830 L
1232670 L
1233380 L
1234680 L
1235190 L
1236340 L
1237000 L
1237850 L
1238550 L
1239540 L
1239540 P
1239540 -
1239540 t
1239540 S
1243540 p
1247540 s
1247540 =
1247540 T
1323290 L
1323630 L
1324390 L
1326160 L
1327310 L
1327870 L
1328790 L
1329340 L
1329940 L
1331060 L
1455950 L
1456420 L
1457040 L
1457510 L
1458090 L
1459160 L
1460140 L
1460570 L
1461290 L
1461660 L
1554580 L
1555850 L
1556380 L
1557230 L
1558210 L
1558810 L
1559720 L
1561250 L
1562060 L
1562600 L
1638150 L
1638730 L
1639740 L
1640240 L
1640690 L
1642070 L
1643350 L
1643880 L
1659750 L
1660990 L
1661540 L
1664010 L
1666130 L
1667370 L
1670240 L
1670750 L
1672220 L
1673920 L
1674530 L
1676070 L
1676970 L
1681890 L
1682550 L
1683020 L
1683440 L
1684160 L
1684520 L
1685520 L
1686780 L
1687270 L
1687610 L
1688080 L
1688080 P
1688080 -
1688080 t
1688080 S
1692080 p
1696080 s
1696080 =
1696080 T
1842390 L
2374620 L
2376370 L
2377200 L
2377810 L
2379130 L
